tissue,AD_level,method,name,log2FC,FDR
MSBB_BM22,AD_likely,edgeR no prefilter,NC_001664.2_region_1_159322__ID=id0,-0.010647605686510426,0.9900194919611593
MSBB_BM22,AD_likely,edgeR no prefilter,NC_009825.1_region_1_9355__ID=id0,0.0018781302017751213,0.9900194919611593
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_000898.1_region_1_162114__ID=id0,0.8712852645668017,0.6381520457975794
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_001405.1_region_1_35937__ID=id0,-0.05662299569795077,0.7492842771073307
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_001460.1_region_1_34125__ID=id0,0.39847171835073975,0.6381520457975794
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_001611.1_region_1_185578__ID=id0,-0.03773847649073764,0.8762675437367342
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_001664.2_region_1_159322__ID=id0,0.06968297310658253,0.8762675437367342
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_001716.2_region_1_153080__ID=id0,0.3456797311057302,0.7382110251737244
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_001798.2_region_1_154675__ID=id0,-0.40095203726725215,0.7382110251737244
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_001806.2_region_1_152222__ID=id0,0.5322353637253251,0.321034851084004
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_002645.1_region_1_27317__ID=id0,-0.2249355990189121,0.7382110251737244
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_006273.2_region_1_235646__ID=id0,0.3566289129542313,0.7382110251737244
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_009333.1_region_1_137969__ID=id0,-0.10984563791773441,0.7382110251737244
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_009823.1_region_1_9711__ID=id0,-0.07066833967727634,0.7382110251737244
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_009825.1_region_1_9355__ID=id0,0.10039094674633661,0.7382110251737244
MSBB_BM22,AD_likely,DESeq2 indepfilter,NC_012959.1_region_1_34920__ID=id0,0.167583678915064,0.7382110251737244
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_000898.1_region_1_162114__ID=id0,0.8720764448689349,0.6256306514079693
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_001405.1_region_1_35937__ID=id0,-0.05655991780074538,0.7555165855167835
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_001460.1_region_1_34125__ID=id0,0.3981480237497545,0.6256306514079693
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_001611.1_region_1_185578__ID=id0,-0.035203057730487736,0.8545475339946544
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_001664.2_region_1_159322__ID=id0,0.08812488193477082,0.8545475339946544
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_001716.2_region_1_153080__ID=id0,0.3304174483518663,0.7409152791660748
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_001798.2_region_1_154675__ID=id0,-0.39676792166595,0.7409152791660748
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_001806.2_region_1_152222__ID=id0,0.5319689222157922,0.4216184651381616
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_002645.1_region_1_27317__ID=id0,-0.22801526521327492,0.7409152791660748
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_006273.2_region_1_235646__ID=id0,0.3553203354375258,0.7409152791660748
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_009333.1_region_1_137969__ID=id0,-0.10978832229021943,0.7409152791660748
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_009823.1_region_1_9711__ID=id0,-0.07131892422241698,0.7409152791660748
MSBB_BM22,AD_likely,DESeq2 prefilter,NC_009825.1_region_1_9355__ID=id0,0.09967560443473808,0.7409152791660748
